fname,continuum_member,condition,itemnum,Group,Block
list0_dg09_105_highmid.ogg,9,highmid,105,0,with_precursor
list0_dg09_113_highmid.ogg,9,highmid,113,0,with_precursor
list0_dg09_121_midhigh.ogg,9,midhigh,121,0,with_precursor
list0_dg09_129_midhigh.ogg,9,midhigh,129,0,with_precursor
list0_dg09_137_midhigh.ogg,9,midhigh,137,0,with_precursor
list0_dg09_145_midhigh.ogg,9,midhigh,145,0,with_precursor
list0_dg09_153_midhigh.ogg,9,midhigh,153,0,with_precursor
list0_dg09_17_lowmid.ogg,9,lowmid,17,0,with_precursor
list0_dg09_1_lowmid.ogg,9,lowmid,1,0,with_precursor
list0_dg09_25_lowmid.ogg,9,lowmid,25,0,with_precursor
list0_dg09_33_lowmid.ogg,9,lowmid,33,0,with_precursor
list0_dg09_41_midlow.ogg,9,midlow,41,0,with_precursor
list0_dg09_49_midlow.ogg,9,midlow,49,0,with_precursor
list0_dg09_57_midlow.ogg,9,midlow,57,0,with_precursor
list0_dg09_65_midlow.ogg,9,midlow,65,0,with_precursor
list0_dg09_73_midlow.ogg,9,midlow,73,0,with_precursor
list0_dg09_81_highmid.ogg,9,highmid,81,0,with_precursor
list0_dg09_89_highmid.ogg,9,highmid,89,0,with_precursor
list0_dg09_97_highmid.ogg,9,highmid,97,0,with_precursor
list0_dg09_9_lowmid.ogg,9,lowmid,9,0,with_precursor
list0_dg10_106_highmid.ogg,10,highmid,106,0,with_precursor
list0_dg10_10_lowmid.ogg,10,lowmid,10,0,with_precursor
list0_dg10_114_highmid.ogg,10,highmid,114,0,with_precursor
list0_dg10_122_midhigh.ogg,10,midhigh,122,0,with_precursor
list0_dg10_130_midhigh.ogg,10,midhigh,130,0,with_precursor
list0_dg10_138_midhigh.ogg,10,midhigh,138,0,with_precursor
list0_dg10_146_midhigh.ogg,10,midhigh,146,0,with_precursor
list0_dg10_154_midhigh.ogg,10,midhigh,154,0,with_precursor
list0_dg10_18_lowmid.ogg,10,lowmid,18,0,with_precursor
list0_dg10_26_lowmid.ogg,10,lowmid,26,0,with_precursor
list0_dg10_2_lowmid.ogg,10,lowmid,2,0,with_precursor
list0_dg10_34_lowmid.ogg,10,lowmid,34,0,with_precursor
list0_dg10_42_midlow.ogg,10,midlow,42,0,with_precursor
list0_dg10_50_midlow.ogg,10,midlow,50,0,with_precursor
list0_dg10_58_midlow.ogg,10,midlow,58,0,with_precursor
list0_dg10_66_midlow.ogg,10,midlow,66,0,with_precursor
list0_dg10_74_midlow.ogg,10,midlow,74,0,with_precursor
list0_dg10_82_highmid.ogg,10,highmid,82,0,with_precursor
list0_dg10_90_highmid.ogg,10,highmid,90,0,with_precursor
list0_dg10_98_highmid.ogg,10,highmid,98,0,with_precursor
list0_dg11_107_highmid.ogg,11,highmid,107,0,with_precursor
list0_dg11_115_highmid.ogg,11,highmid,115,0,with_precursor
list0_dg11_11_lowmid.ogg,11,lowmid,11,0,with_precursor
list0_dg11_123_midhigh.ogg,11,midhigh,123,0,with_precursor
list0_dg11_131_midhigh.ogg,11,midhigh,131,0,with_precursor
list0_dg11_139_midhigh.ogg,11,midhigh,139,0,with_precursor
list0_dg11_147_midhigh.ogg,11,midhigh,147,0,with_precursor
list0_dg11_155_midhigh.ogg,11,midhigh,155,0,with_precursor
list0_dg11_19_lowmid.ogg,11,lowmid,19,0,with_precursor
list0_dg11_27_lowmid.ogg,11,lowmid,27,0,with_precursor
list0_dg11_35_lowmid.ogg,11,lowmid,35,0,with_precursor
list0_dg11_3_lowmid.ogg,11,lowmid,3,0,with_precursor
list0_dg11_43_midlow.ogg,11,midlow,43,0,with_precursor
list0_dg11_51_midlow.ogg,11,midlow,51,0,with_precursor
list0_dg11_59_midlow.ogg,11,midlow,59,0,with_precursor
list0_dg11_67_midlow.ogg,11,midlow,67,0,with_precursor
list0_dg11_75_midlow.ogg,11,midlow,75,0,with_precursor
list0_dg11_83_highmid.ogg,11,highmid,83,0,with_precursor
list0_dg11_91_highmid.ogg,11,highmid,91,0,with_precursor
list0_dg11_99_highmid.ogg,11,highmid,99,0,with_precursor
list0_dg12_100_highmid.ogg,12,highmid,100,0,with_precursor
list0_dg12_108_highmid.ogg,12,highmid,108,0,with_precursor
list0_dg12_116_highmid.ogg,12,highmid,116,0,with_precursor
list0_dg12_124_midhigh.ogg,12,midhigh,124,0,with_precursor
list0_dg12_12_lowmid.ogg,12,lowmid,12,0,with_precursor
list0_dg12_132_midhigh.ogg,12,midhigh,132,0,with_precursor
list0_dg12_140_midhigh.ogg,12,midhigh,140,0,with_precursor
list0_dg12_148_midhigh.ogg,12,midhigh,148,0,with_precursor
list0_dg12_156_midhigh.ogg,12,midhigh,156,0,with_precursor
list0_dg12_20_lowmid.ogg,12,lowmid,20,0,with_precursor
list0_dg12_28_lowmid.ogg,12,lowmid,28,0,with_precursor
list0_dg12_36_lowmid.ogg,12,lowmid,36,0,with_precursor
list0_dg12_44_midlow.ogg,12,midlow,44,0,with_precursor
list0_dg12_4_lowmid.ogg,12,lowmid,4,0,with_precursor
list0_dg12_52_midlow.ogg,12,midlow,52,0,with_precursor
list0_dg12_60_midlow.ogg,12,midlow,60,0,with_precursor
list0_dg12_68_midlow.ogg,12,midlow,68,0,with_precursor
list0_dg12_76_midlow.ogg,12,midlow,76,0,with_precursor
list0_dg12_84_highmid.ogg,12,highmid,84,0,with_precursor
list0_dg12_92_highmid.ogg,12,highmid,92,0,with_precursor
list0_dg13_101_highmid.ogg,13,highmid,101,0,with_precursor
list0_dg13_109_highmid.ogg,13,highmid,109,0,with_precursor
list0_dg13_117_highmid.ogg,13,highmid,117,0,with_precursor
list0_dg13_125_midhigh.ogg,13,midhigh,125,0,with_precursor
list0_dg13_133_midhigh.ogg,13,midhigh,133,0,with_precursor
list0_dg13_13_lowmid.ogg,13,lowmid,13,0,with_precursor
list0_dg13_141_midhigh.ogg,13,midhigh,141,0,with_precursor
list0_dg13_149_midhigh.ogg,13,midhigh,149,0,with_precursor
list0_dg13_157_midhigh.ogg,13,midhigh,157,0,with_precursor
list0_dg13_21_lowmid.ogg,13,lowmid,21,0,with_precursor
list0_dg13_29_lowmid.ogg,13,lowmid,29,0,with_precursor
list0_dg13_37_lowmid.ogg,13,lowmid,37,0,with_precursor
list0_dg13_45_midlow.ogg,13,midlow,45,0,with_precursor
